Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RevBayes: Bayesian Phylogenetic Inference Using Graphical Models and an Interactive Model-Specification Language,"Hohna, Sebastian; Landis, Michael J.; Heath, Tracy A.; Boussau, Bastien; Lartillot, Nicolas; Moore, Brian R.; Huelsenbeck, John P.; Ronquist, Fredrik",,,,SYSTEMATIC BIOLOGY,JUL 2016,2016,65,4,,,,726,736,,10.1093/sysbio/syw021,,,314,39.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,31,45,64,72,56,38
Detecting Hidden Diversification Shifts in Models of Trait-Dependent Speciation and Extinction,"Beaulieu, Jeremy M.; O'Meara, Brian C.",,,,SYSTEMATIC BIOLOGY,JUL 2016,2016,65,4,,,,583,601,,10.1093/sysbio/syw022,,,308,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,37,43,51,50,58,35
Species Delimitation using Genome-Wide SNP Data,"Leache, Adam D.; Fujita, Matthew K.; Minin, Vladimir N.; Bouckaert, Remco R.",,,,SYSTEMATIC BIOLOGY,JUL 2014,2014,63,4,,,,534,542,,10.1093/sysbio/syu018,,,302,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,25,23,37,31,45,54,36,25
The Unsolved Challenge to Phylogenetic Correlation Tests for Categorical Characters,"Maddison, Wayne P.; FitzJohn, Richard G.",,,,SYSTEMATIC BIOLOGY,JAN 2015,2015,64,1,,,,127,136,,10.1093/sysbio/syu070,,,299,33.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,52,39,36,25,26,29,22
"Evolutionary Covariation in Geometric Morphometric Data: Analyzing Integration, Modularity, and Allometry in a Phylogenetic Context","Klingenberg, Christian Peter; Marugan-Lobon, Jesus",,,,SYSTEMATIC BIOLOGY,JUL 2013,2013,62,4,,,,591,610,,10.1093/sysbio/syt025,,,267,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,23,28,30,24,41,38,24,25,9
Pruning Rogue Taxa Improves Phylogenetic Accuracy: An Efficient Algorithm and Webservice,"Aberer, Andre J.; Krompass, Denis; Stamatakis, Alexandros",,,,SYSTEMATIC BIOLOGY,JAN 2013,2013,62,1,,,,162,166,,10.1093/sysbio/sys078,,,258,23.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,13,28,36,34,35,23,34,19,15
EPA-ng: Massively Parallel Evolutionary Placement of Genetic Sequences,"Barbera, Pierre; Kozlov, Alexey M.; Czech, Lucas; Morel, Benoit; Darriba, Diego; Flouri, Tomas; Stamatakis, Alexandros",,,,SYSTEMATIC BIOLOGY,MAR 2019,2019,68,2,,,,365,369,,10.1093/sysbio/syy054,,,240,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,48,73,70,39
Comparison of Methods for Molecular Species Delimitation Across a Range of Speciation Scenarios,"Luo, Arong; Ling, Cheng; Ho, Simon Y. W.; Zhu, Chao-Dong",,,,SYSTEMATIC BIOLOGY,SEP 2018,2018,67,5,,,,830,846,,10.1093/sysbio/syy011,,,234,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,51,65,53,28
Borneo and Indochina are Major Evolutionary Hotspots for Southeast Asian Biodiversity,"de Bruyn, Mark; Stelbrink, Bjoern; Morley, Robert J.; Hall, Robert; Carvalho, Gary R.; Cannon, Charles H.; van den Bergh, Gerrit; Meijaard, Erik; Metcalfe, Ian; Boitani, Luigi; Maiorano, Luigi; Shoup, Robert; von Rintelen, Thomas",,,,SYSTEMATIC BIOLOGY,NOV 2014,2014,63,6,,,,879,901,,10.1093/sysbio/syu047,,,233,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,23,25,26,21,29,42,35,15
Target Capture and Massively Parallel Sequencing of Ultraconserved Elements for Comparative Studies at Shallow Evolutionary Time Scales,"Smith, Brian Tilston; Harvey, Michael G.; Faircloth, Brant C.; Glenn, Travis C.; Brumfield, Robb T.",,,,SYSTEMATIC BIOLOGY,JAN 2014,2014,63,1,,,,83,95,,10.1093/sysbio/syt061,,,230,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,36,25,30,39,19,25,16,9
Biogeographic Analysis Reveals Ancient Continental Vicariance and Recent Oceanic Dispersal in Amphibians,"Pyron, R. Alexander",,,,SYSTEMATIC BIOLOGY,SEP 2014,2014,63,5,,,,779,797,,10.1093/sysbio/syu042,,,227,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,19,34,34,41,39,24,21,3
Identifying Hidden Rate Changes in the Evolution of a Binary Morphological Character: The Evolution of Plant Habit in Campanulid Angiosperms,"Beaulieu, Jeremy M.; O'Meara, Brian C.; Donoghue, Michael J.",,,,SYSTEMATIC BIOLOGY,SEP 2013,2013,62,5,,,,725,737,,10.1093/sysbio/syt034,,,225,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,19,15,21,26,20,29,30,31,21
"Short Tree, Long Tree, Right Tree, Wrong Tree: New Acquisition Bias Corrections for Inferring SNP Phylogenies","Leache, Adam D.; Banbury, Barbara L.; Felsenstein, Joseph; Nieto-Montes de Oca, Adrian; Stamatakis, Alexandros",,,,SYSTEMATIC BIOLOGY,NOV 2015,2015,64,6,,,,1032,1047,,10.1093/sysbio/syv053,,,224,24.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,20,34,28,34,41,34,17
The Influence of Gene Flow on Species Tree Estimation: A Simulation Study,"Leache, Adam D.; Harris, Rebecca B.; Rannala, Bruce; Yang, Ziheng",,,,SYSTEMATIC BIOLOGY,JAN 2014,2014,63,1,,,,17,30,,10.1093/sysbio/syt049,,,216,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,29,18,27,20,22,38,15,8
A Universal Probe Set for Targeted Sequencing of 353 Nuclear Genes from Any Flowering Plant Designed Using k-Medoids Clustering,"Johnson, Matthew G.; Pokorny, Lisa; Dodsworth, Steven; Botigue, Laura R.; Cowan, Robyn S.; Devault, Alison; Eiserhardt, Wolf L.; Epitawalage, Niroshini; Forest, Felix; Kim, Jan T.; Leebens-Mack, James H.; Leitch, Ilia J.; Maurin, Olivier; Soltis, Douglas E.; Soltis, Pamela S.; Wong, Gane Ka-Shu; Baker, William J.; Wickett, Norman J.",,,,SYSTEMATIC BIOLOGY,JUL 2019,2019,68,4,,,,594,606,,10.1093/sysbio/syy086,,,211,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,79,54,38
Species Delimitation Using Bayes Factors: Simulations and Application to the Sceloporus scalaris Species Group (Squamata: Phrynosomatidae),"Grummer, Jared A.; Bryson, Robert W., Jr.; Reeder, Tod W.",,,,SYSTEMATIC BIOLOGY,MAR 2014,2014,63,2,,,,119,133,,10.1093/sysbio/syt069,,,211,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,23,29,31,28,22,22,16,14
Total-Evidence Dating under the Fossilized Birth-Death Process,"Zhang, Chi; Stadler, Tanja; Klopfstein, Seraina; Heath, Tracy A.; Ronquist, Fredrik",,,,SYSTEMATIC BIOLOGY,MAR 2016,2016,65,2,,,,228,249,,10.1093/sysbio/syv080,,,199,24.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,16,23,37,34,32,16
"Multilocus Species Delimitation in a Complex of Morphologically Conserved Trapdoor Spiders (Mygalomorphae, Antrodiaetidae, Aliatypus)","Satler, Jordan D.; Carstens, Bryan C.; Hedin, Marshal",,,,SYSTEMATIC BIOLOGY,NOV 2013,2013,62,6,,,,805,823,,10.1093/sysbio/syt041,,,195,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,20,23,27,19,22,18,16,4
Modeling Site Heterogeneity with Posterior Mean Site Frequency Profiles Accelerates Accurate Phylogenomic Estimation,"Wang, Huai-Chun; Bui Quang Minh; Susko, Edward; Roger, Andrew J.",,,,SYSTEMATIC BIOLOGY,MAR 2018,2018,67,2,,,,216,235,,10.1093/sysbio/syx068,,,194,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,29,44,54,23
From Integrative Taxonomy to Species Description: One Step Beyond,"Pante, E.; Schoelinck, C.; Puillandre, N.",,,,SYSTEMATIC BIOLOGY,JAN 2015,2015,64,1,,,,152,160,,10.1093/sysbio/syu083,,,192,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,23,34,17,24,32,32,9
Unforeseen Consequences of Excluding Missing Data from Next-Generation Sequences: Simulation Study of RAD Sequences,"Huang, Huateng; Knowles, L. Lacey",,,,SYSTEMATIC BIOLOGY,MAY 2016,2016,65,3,,,,357,365,,10.1093/sysbio/syu046,,,190,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,26,30,23,27,33,20,11
Cancer Evolution: Mathematical Models and Computational Inference,"Beerenwinkel, Niko; Schwarz, Roland F.; Gerstung, Moritz; Markowetz, Florian",,,,SYSTEMATIC BIOLOGY,JAN 2015,2015,64,1,,,,E1,E25,,10.1093/sysbio/syu081,,,189,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,26,22,27,22,21,27,12
